"true_m","r_obs","posterior_prob","bayes_call","fixed_call"
0,0.15453989739611,0.892214084162122,"mosaic-relevant","mosaic-relevant"
0,-0.0261998422926377,0.229782444226896,"normal","normal"
0,-0.111302952005686,0.0747645625959761,"normal","normal"
0,0.0837175474402599,0.647329944694094,"mosaic-relevant","normal"
0,-0.0200541795833084,0.247023987271422,"normal","normal"
0,0.032615469907579,0.430674533287975,"normal","normal"
0,0.0216551071778425,0.387615815307325,"normal","normal"
0,-0.0320052250310811,0.214331013277876,"normal","normal"
0,-0.00225388082713332,0.302111070377568,"normal","normal"
0,-0.0115399985643319,0.272421484641565,"normal","normal"
0,0.0124837598743496,0.353350147611484,"normal","normal"
0,-0.0261250592945036,0.229986763808008,"normal","normal"
0,-0.03888034856865,0.197068999266332,"normal","normal"
0,-0.0826050352300106,0.111606671525412,"normal","normal"
0,0.0668930003194472,0.575177302636917,"mosaic-relevant","normal"
0,0.067447369924597,0.577570161930664,"mosaic-relevant","normal"
0,0.0379056038326864,0.452169890875654,"normal","normal"
0,0.0783289976320686,0.624391487277776,"mosaic-relevant","normal"
0,-0.00886420813027524,0.280764999759557,"normal","normal"
0,-0.0262752302682144,0.229576608121148,"normal","normal"
0,0.124166152267448,0.804279326901142,"mosaic-relevant","normal"
0,-0.0816180270581743,0.113115326990107,"normal","normal"
0,-0.0824391539078206,0.111859003895074,"normal","normal"
0,0.0661365811537934,0.571912301277298,"mosaic-relevant","normal"
0,-0.0172468294324929,0.255204206820877,"normal","normal"
0,0.113064961359372,0.764883917622836,"mosaic-relevant","normal"
0,0.0630572955952957,0.558625461685523,"mosaic-relevant","normal"
0,-0.0199990804688123,0.247182700673131,"normal","normal"
0,0.106978735324653,0.741905018933206,"mosaic-relevant","normal"
0,0.0332744406514227,0.433328835186992,"normal","normal"
0,-0.025658543805211,0.231264404506216,"normal","normal"
0,0.0250103291188935,0.400567810390437,"normal","normal"
0,0.0364638669863667,0.446270440607519,"normal","normal"
0,-0.0517843802279942,0.167621424426701,"normal","normal"
0,-0.0503629325018492,0.170681181349866,"normal","normal"
0,-0.0638378691307312,0.143430414711316,"normal","normal"
0,0.0234215340530137,0.394408175911145,"normal","normal"
0,0.00209278166363474,0.316708873554203,"normal","normal"
0,-0.0354035497023278,0.205659174405322,"normal","normal"
0,0.0605876390380548,0.547982375047535,"mosaic-relevant","normal"
0,-0.0384393477017425,0.198142902394941,"normal","normal"
0,0.0573528463013802,0.534074408256277,"mosaic-relevant","normal"
0,-0.0325783492619521,0.212849302553881,"normal","normal"
0,0.0226808447067125,0.391552784747329,"normal","normal"
0,0.00353648322704905,0.321654271450346,"normal","normal"
