"prior_label","alpha","beta","mean_M","sensitivity_fixed","fpr_fixed","sensitivity_bayes","fpr_bayes"
"Age <35",1.2,18.8,0.06,0.228,0.011,0.232,0.005
"Age 35-40",2.4,17.6,0.12,0.212,0.012,0.704,0.121
"Age >40",4,16,0.2,0.225,0.014,0.983,0.664
