embryo_id,latent_status,n_affected,classifier,rule_name,embryo_call,truth_binary
sim_0263,ambiguous,2,comparable_idealized_threshold,ge_1_abnormal_chromosome,abnormal,abnormal
sim_0264,normal,0,comparable_idealized_threshold,ge_1_abnormal_chromosome,abnormal,normal
sim_0265,ambiguous,2,comparable_idealized_threshold,ge_1_abnormal_chromosome,normal,abnormal
sim_0266,normal,0,comparable_idealized_threshold,ge_1_abnormal_chromosome,abnormal,normal
sim_0267,abnormal,4,comparable_idealized_threshold,ge_1_abnormal_chromosome,abnormal,abnormal
sim_0268,abnormal,2,comparable_idealized_threshold,ge_1_abnormal_chromosome,abnormal,abnormal
sim_0269,abnormal,5,comparable_idealized_threshold,ge_1_abnormal_chromosome,abnormal,abnormal
sim_0270,ambiguous,1,comparable_idealized_threshold,ge_1_abnormal_chromosome,abnormal,abnormal
sim_0271,abnormal,5,comparable_idealized_threshold,ge_1_abnormal_chromosome,abnormal,abnormal
sim_0272,abnormal,2,comparable_idealized_threshold,ge_1_abnormal_chromosome,abnormal,abnormal
sim_0273,normal,0,comparable_idealized_threshold,ge_1_abnormal_chromosome,abnormal,normal
sim_0274,normal,0,comparable_idealized_threshold,ge_1_abnormal_chromosome,normal,normal
sim_0275,abnormal,6,comparable_idealized_threshold,ge_1_abnormal_chromosome,abnormal,abnormal
sim_0276,abnormal,2,comparable_idealized_threshold,ge_1_abnormal_chromosome,abnormal,abnormal
sim_0277,ambiguous,2,comparable_idealized_threshold,ge_1_abnormal_chromosome,normal,abnormal
sim_0278,ambiguous,1,comparable_idealized_threshold,ge_1_abnormal_chromosome,abnormal,abnormal
sim_0279,abnormal,5,comparable_idealized_threshold,ge_1_abnormal_chromosome,abnormal,abnormal
sim_0280,normal,0,comparable_idealized_threshold,ge_1_abnormal_chromosome,normal,normal
sim_0281,abnormal,4,comparable_idealized_threshold,ge_1_abnormal_chromosome,abnormal,abnormal
sim_0282,ambiguous,1,comparable_idealized_threshold,ge_1_abnormal_chromosome,abnormal,abnormal
sim_0283,abnormal,4,comparable_idealized_threshold,ge_1_abnormal_chromosome,abnormal,abnormal
sim_0284,abnormal,3,comparable_idealized_threshold,ge_1_abnormal_chromosome,abnormal,abnormal
sim_0285,ambiguous,1,comparable_idealized_threshold,ge_1_abnormal_chromosome,abnormal,abnormal
sim_0286,abnormal,3,comparable_idealized_threshold,ge_1_abnormal_chromosome,abnormal,abnormal
sim_0287,normal,0,comparable_idealized_threshold,ge_1_abnormal_chromosome,normal,normal
sim_0288,normal,0,comparable_idealized_threshold,ge_1_abnormal_chromosome,abnormal,normal
sim_0289,ambiguous,1,comparable_idealized_threshold,ge_1_abnormal_chromosome,abnormal,abnormal
sim_0290,ambiguous,1,comparable_idealized_threshold,ge_1_abnormal_chromosome,abnormal,abnormal
sim_0291,normal,0,comparable_idealized_threshold,ge_1_abnormal_chromosome,abnormal,normal
sim_0292,ambiguous,1,comparable_idealized_threshold,ge_1_abnormal_chromosome,abnormal,abnormal
sim_0293,abnormal,3,comparable_idealized_threshold,ge_1_abnormal_chromosome,abnormal,abnormal
sim_0294,ambiguous,2,comparable_idealized_threshold,ge_1_abnormal_chromosome,abnormal,abnormal
sim_0295,ambiguous,1,comparable_idealized_threshold,ge_1_abnormal_chromosome,abnormal,abnormal
sim_0296,abnormal,5,comparable_idealized_threshold,ge_1_abnormal_chromosome,abnormal,abnormal
sim_0297,abnormal,4,comparable_idealized_threshold,ge_1_abnormal_chromosome,abnormal,abnormal
sim_0298,abnormal,5,comparable_idealized_threshold,ge_1_abnormal_chromosome,abnormal,abnormal
sim_0299,normal,0,comparable_idealized_threshold,ge_1_abnormal_chromosome,normal,normal
sim_0300,abnormal,6,comparable_idealized_threshold,ge_1_abnormal_chromosome,abnormal,abnormal
sim_0301,abnormal,6,comparable_idealized_threshold,ge_1_abnormal_chromosome,abnormal,abnormal
sim_0302,abnormal,6,comparable_idealized_threshold,ge_1_abnormal_chromosome,abnormal,abnormal
sim_0303,abnormal,5,comparable_idealized_threshold,ge_1_abnormal_chromosome,abnormal,abnormal
sim_0304,normal,0,comparable_idealized_threshold,ge_1_abnormal_chromosome,abnormal,normal
sim_0305,ambiguous,1,comparable_idealized_threshold,ge_1_abnormal_chromosome,normal,abnormal
sim_0306,normal,0,comparable_idealized_threshold,ge_1_abnormal_chromosome,normal,normal
sim_0307,abnormal,3,comparable_idealized_threshold,ge_1_abnormal_chromosome,abnormal,abnormal
sim_0308,normal,0,comparable_idealized_threshold,ge_1_abnormal_chromosome,abnormal,normal
sim_0309,ambiguous,2,comparable_idealized_threshold,ge_1_abnormal_chromosome,abnormal,abnormal
sim_0310,ambiguous,1,comparable_idealized_threshold,ge_1_abnormal_chromosome,abnormal,abnormal
sim_0311,ambiguous,1,comparable_idealized_threshold,ge_1_abnormal_chromosome,normal,abnormal
sim_0312,ambiguous,1,comparable_idealized_threshold,ge_1_abnormal_chromosome,abnormal,abnormal
sim_0313,normal,0,comparable_idealized_threshold,ge_1_abnormal_chromosome,normal,normal
sim_0314,ambiguous,1,comparable_idealized_threshold,ge_1_abnormal_chromosome,normal,abnormal
sim_0315,normal,0,comparable_idealized_threshold,ge_1_abnormal_chromosome,normal,normal
sim_0316,ambiguous,2,comparable_idealized_threshold,ge_1_abnormal_chromosome,abnormal,abnormal
sim_0317,abnormal,4,comparable_idealized_threshold,ge_1_abnormal_chromosome,abnormal,abnormal
sim_0318,abnormal,4,comparable_idealized_threshold,ge_1_abnormal_chromosome,normal,abnormal
sim_0319,abnormal,3,comparable_idealized_threshold,ge_1_abnormal_chromosome,abnormal,abnormal
sim_0320,abnormal,5,comparable_idealized_threshold,ge_1_abnormal_chromosome,abnormal,abnormal
sim_0321,ambiguous,2,comparable_idealized_threshold,ge_1_abnormal_chromosome,normal,abnormal
sim_0322,abnormal,3,comparable_idealized_threshold,ge_1_abnormal_chromosome,abnormal,abnormal
sim_0323,normal,0,comparable_idealized_threshold,ge_1_abnormal_chromosome,normal,normal
sim_0324,ambiguous,2,comparable_idealized_threshold,ge_1_abnormal_chromosome,abnormal,abnormal
sim_0325,normal,0,comparable_idealized_threshold,ge_1_abnormal_chromosome,abnormal,normal
sim_0326,abnormal,6,comparable_idealized_threshold,ge_1_abnormal_chromosome,abnormal,abnormal
sim_0327,ambiguous,2,comparable_idealized_threshold,ge_1_abnormal_chromosome,abnormal,abnormal
sim_0328,abnormal,2,comparable_idealized_threshold,ge_1_abnormal_chromosome,abnormal,abnormal
sim_0329,normal,0,comparable_idealized_threshold,ge_1_abnormal_chromosome,abnormal,normal
sim_0330,ambiguous,2,comparable_idealized_threshold,ge_1_abnormal_chromosome,abnormal,abnormal
sim_0331,abnormal,4,comparable_idealized_threshold,ge_1_abnormal_chromosome,abnormal,abnormal
sim_0332,ambiguous,2,comparable_idealized_threshold,ge_1_abnormal_chromosome,abnormal,abnormal
sim_0333,ambiguous,1,comparable_idealized_threshold,ge_1_abnormal_chromosome,abnormal,abnormal
sim_0334,ambiguous,2,comparable_idealized_threshold,ge_1_abnormal_chromosome,abnormal,abnormal
sim_0335,normal,0,comparable_idealized_threshold,ge_1_abnormal_chromosome,abnormal,normal
sim_0336,ambiguous,2,comparable_idealized_threshold,ge_1_abnormal_chromosome,abnormal,abnormal
sim_0337,normal,0,comparable_idealized_threshold,ge_1_abnormal_chromosome,abnormal,normal
sim_0338,abnormal,3,comparable_idealized_threshold,ge_1_abnormal_chromosome,abnormal,abnormal
sim_0339,abnormal,2,comparable_idealized_threshold,ge_1_abnormal_chromosome,abnormal,abnormal
sim_0340,abnormal,2,comparable_idealized_threshold,ge_1_abnormal_chromosome,abnormal,abnormal
sim_0341,normal,0,comparable_idealized_threshold,ge_1_abnormal_chromosome,abnormal,normal
sim_0342,abnormal,3,comparable_idealized_threshold,ge_1_abnormal_chromosome,abnormal,abnormal
sim_0343,normal,0,comparable_idealized_threshold,ge_1_abnormal_chromosome,normal,normal
sim_0344,normal,0,comparable_idealized_threshold,ge_1_abnormal_chromosome,abnormal,normal
sim_0345,ambiguous,1,comparable_idealized_threshold,ge_1_abnormal_chromosome,normal,abnormal
sim_0346,normal,0,comparable_idealized_threshold,ge_1_abnormal_chromosome,normal,normal
sim_0347,normal,0,comparable_idealized_threshold,ge_1_abnormal_chromosome,normal,normal
sim_0348,normal,0,comparable_idealized_threshold,ge_1_abnormal_chromosome,normal,normal
sim_0349,abnormal,3,comparable_idealized_threshold,ge_1_abnormal_chromosome,abnormal,abnormal
sim_0350,normal,0,comparable_idealized_threshold,ge_1_abnormal_chromosome,abnormal,normal
sim_0351,abnormal,5,comparable_idealized_threshold,ge_1_abnormal_chromosome,abnormal,abnormal
sim_0352,ambiguous,1,comparable_idealized_threshold,ge_1_abnormal_chromosome,normal,abnormal
sim_0353,normal,0,comparable_idealized_threshold,ge_1_abnormal_chromosome,abnormal,normal
sim_0354,normal,0,comparable_idealized_threshold,ge_1_abnormal_chromosome,normal,normal
sim_0355,abnormal,3,comparable_idealized_threshold,ge_1_abnormal_chromosome,abnormal,abnormal
sim_0356,ambiguous,2,comparable_idealized_threshold,ge_1_abnormal_chromosome,abnormal,abnormal
sim_0357,ambiguous,1,comparable_idealized_threshold,ge_1_abnormal_chromosome,abnormal,abnormal
sim_0358,normal,0,comparable_idealized_threshold,ge_1_abnormal_chromosome,abnormal,normal
sim_0359,abnormal,3,comparable_idealized_threshold,ge_1_abnormal_chromosome,abnormal,abnormal
sim_0360,ambiguous,2,comparable_idealized_threshold,ge_1_abnormal_chromosome,normal,abnormal
sim_0361,normal,0,comparable_idealized_threshold,ge_1_abnormal_chromosome,normal,normal
sim_0362,normal,0,comparable_idealized_threshold,ge_1_abnormal_chromosome,abnormal,normal
sim_0363,ambiguous,1,comparable_idealized_threshold,ge_1_abnormal_chromosome,normal,abnormal
sim_0364,normal,0,comparable_idealized_threshold,ge_1_abnormal_chromosome,normal,normal
sim_0365,abnormal,2,comparable_idealized_threshold,ge_1_abnormal_chromosome,abnormal,abnormal
sim_0366,normal,0,comparable_idealized_threshold,ge_1_abnormal_chromosome,normal,normal
sim_0367,ambiguous,1,comparable_idealized_threshold,ge_1_abnormal_chromosome,normal,abnormal
sim_0368,ambiguous,2,comparable_idealized_threshold,ge_1_abnormal_chromosome,abnormal,abnormal
sim_0369,abnormal,2,comparable_idealized_threshold,ge_1_abnormal_chromosome,abnormal,abnormal
sim_0370,ambiguous,1,comparable_idealized_threshold,ge_1_abnormal_chromosome,normal,abnormal
sim_0371,ambiguous,2,comparable_idealized_threshold,ge_1_abnormal_chromosome,abnormal,abnormal
sim_0372,abnormal,4,comparable_idealized_threshold,ge_1_abnormal_chromosome,abnormal,abnormal
sim_0373,ambiguous,2,comparable_idealized_threshold,ge_1_abnormal_chromosome,normal,abnormal
sim_0374,abnormal,5,comparable_idealized_threshold,ge_1_abnormal_chromosome,abnormal,abnormal
sim_0375,ambiguous,2,comparable_idealized_threshold,ge_1_abnormal_chromosome,abnormal,abnormal
sim_0376,normal,0,comparable_idealized_threshold,ge_1_abnormal_chromosome,normal,normal
sim_0377,abnormal,3,comparable_idealized_threshold,ge_1_abnormal_chromosome,abnormal,abnormal
sim_0378,normal,0,comparable_idealized_threshold,ge_1_abnormal_chromosome,abnormal,normal
sim_0379,normal,0,comparable_idealized_threshold,ge_1_abnormal_chromosome,abnormal,normal
sim_0380,normal,0,comparable_idealized_threshold,ge_1_abnormal_chromosome,abnormal,normal
sim_0381,ambiguous,2,comparable_idealized_threshold,ge_1_abnormal_chromosome,abnormal,abnormal
sim_0382,ambiguous,1,comparable_idealized_threshold,ge_1_abnormal_chromosome,normal,abnormal
sim_0383,normal,0,comparable_idealized_threshold,ge_1_abnormal_chromosome,abnormal,normal
sim_0384,abnormal,4,comparable_idealized_threshold,ge_1_abnormal_chromosome,abnormal,abnormal
sim_0385,ambiguous,2,comparable_idealized_threshold,ge_1_abnormal_chromosome,abnormal,abnormal
sim_0386,abnormal,3,comparable_idealized_threshold,ge_1_abnormal_chromosome,abnormal,abnormal
sim_0387,abnormal,4,comparable_idealized_threshold,ge_1_abnormal_chromosome,abnormal,abnormal
sim_0388,normal,0,comparable_idealized_threshold,ge_1_abnormal_chromosome,normal,normal
sim_0389,normal,0,comparable_idealized_threshold,ge_1_abnormal_chromosome,abnormal,normal
sim_0390,abnormal,4,comparable_idealized_threshold,ge_1_abnormal_chromosome,abnormal,abnormal
sim_0391,ambiguous,2,comparable_idealized_threshold,ge_1_abnormal_chromosome,normal,abnormal
sim_0392,ambiguous,2,comparable_idealized_threshold,ge_1_abnormal_chromosome,abnormal,abnormal
sim_0393,normal,0,comparable_idealized_threshold,ge_1_abnormal_chromosome,normal,normal
sim_0394,normal,0,comparable_idealized_threshold,ge_1_abnormal_chromosome,abnormal,normal
sim_0395,normal,0,comparable_idealized_threshold,ge_1_abnormal_chromosome,abnormal,normal
sim_0396,abnormal,4,comparable_idealized_threshold,ge_1_abnormal_chromosome,abnormal,abnormal
sim_0397,normal,0,comparable_idealized_threshold,ge_1_abnormal_chromosome,normal,normal
sim_0398,ambiguous,1,comparable_idealized_threshold,ge_1_abnormal_chromosome,normal,abnormal
sim_0399,abnormal,5,comparable_idealized_threshold,ge_1_abnormal_chromosome,abnormal,abnormal
sim_0400,normal,0,comparable_idealized_threshold,ge_1_abnormal_chromosome,abnormal,normal
sim_0401,normal,0,comparable_idealized_threshold,ge_1_abnormal_chromosome,abnormal,normal
sim_0402,abnormal,6,comparable_idealized_threshold,ge_1_abnormal_chromosome,abnormal,abnormal
sim_0403,abnormal,2,comparable_idealized_threshold,ge_1_abnormal_chromosome,abnormal,abnormal
sim_0404,normal,0,comparable_idealized_threshold,ge_1_abnormal_chromosome,normal,normal
sim_0405,abnormal,6,comparable_idealized_threshold,ge_1_abnormal_chromosome,abnormal,abnormal
sim_0406,normal,0,comparable_idealized_threshold,ge_1_abnormal_chromosome,normal,normal
sim_0407,normal,0,comparable_idealized_threshold,ge_1_abnormal_chromosome,abnormal,normal
