EmbryoStatus,Method,n,n_embryos,median_value,mean_value,q1_value,q3_value,max_value
affected,WGS,456,19,1.7104879005,3.466064430160088,1.4253582114999999,2.24803946675,55.9874442
carrier,WGS,96,4,1.7491434405000001,2.2861770298854167,1.63582350475,1.89662753275,50.95987548
inconclusive,WGS,24,1,13.085404315,13.739034481791666,10.7686186485,14.9008437675,38.19367074
unaffected,WGS,168,7,1.3091245960000002,2.570447672982143,0.92160239075000006,1.7750825507499999,49.71932638
