chromosome_group,median_value,mean_value,q1_value,q3_value,max_value,autosome_median,median_ratio_to_autosome
autosome,1.6570230955,2.4678856274706744,1.33916244625,2.09374245225,26.31889901,1.6570230955,1
chrAut,1.696044477,2.330793790709677,1.38890573,2.2585599335,12.09518471,1.6570230955,1.0235490872794537
chrX,38.19367074,26.007026006419355,2.3709828340000003,46.853641235,55.9874442,1.6570230955,23.049570548366567
